,times,pontos,jogos,vitorias,empates,derrotas,gols_marcados,gols_contra,saldo_gols,aproveitamento
0,botafogo,59,30,18,5,7,23,48,25,66
1,gremio,56,32,17,5,10,46,53,7,58
2,palmeiras,56,31,16,8,7,27,52,25,60
3,red-bull-bragantino,55,30,15,10,5,26,43,17,61
4,atletico-mg,53,32,15,8,9,25,40,15,55
5,flamengo,50,30,14,8,8,36,44,8,56
6,athletico-pr,49,31,13,10,8,36,45,9,53
7,fluminense,45,31,13,6,12,41,42,1,48
8,fortaleza,42,29,12,6,11,32,34,2,48
9,sao-paulo,42,31,11,9,11,35,36,1,45
10,cuiaba,40,31,11,7,13,34,31,-3,43
11,corinthians,40,31,9,13,9,37,37,0,43
12,internacional,39,31,10,9,12,39,36,-3,42
13,bahia,37,32,10,7,15,43,38,-5,39
14,santos,37,31,10,7,14,55,36,-19,40
15,cruzeiro,37,30,9,10,11,25,28,3,41
16,vasco,34,31,9,7,15,42,32,-10,37
17,goias,32,31,7,11,13,46,32,-14,34
18,coritiba,23,31,6,5,20,66,35,-31,25
19,america-mg,21,32,4,9,19,66,38,-28,22
